id,name,category,brand,price,currency,on_sale,in_stock,type,image_file,permalink
9595,Storz &#038; Bickel Acrylic 3 pc Herb Grinder,ACCESSORIES,,8.95,AUD,false,true,simple,images/storz-bickel-acrylic-3-pc-herb-grinder-2.jpg,https://aussievapemart.com.au/product/storz-bickel-acrylic-3-pc-herb-grinder-2/
9594,Vapman Hemp Case,ACCESSORIES,,22,AUD,false,true,simple,images/vapman-hemp-case-2.jpg,https://aussievapemart.com.au/product/vapman-hemp-case-2/
9593,The Vapbag,ACCESSORIES,,19.95,AUD,false,true,simple,images/the-vapbag-2.jpg,https://aussievapemart.com.au/product/the-vapbag-2/
9592,XL SlimStash Zebrawood,ACCESSORIES,,26.5,AUD,false,true,simple,images/xl-slimstash-zebrawood-2.jpg,https://aussievapemart.com.au/product/xl-slimstash-zebrawood-2/
9591,SlimStash Zebrawood,ACCESSORIES,,24.5,AUD,false,true,simple,images/slimstash-zebrawood-2.jpg,https://aussievapemart.com.au/product/slimstash-zebrawood-2/
9589,Walnut DynaStash,ACCESSORIES,,59.95,AUD,false,true,simple,images/walnut-dynastash-2.jpg,https://aussievapemart.com.au/product/walnut-dynastash-2/
9588,XL Purple Heart DynaStash,ACCESSORIES,,79.95,AUD,false,true,simple,images/xl-purple-heart-dynastash-2.jpg,https://aussievapemart.com.au/product/xl-purple-heart-dynastash-2/
9587,Maple DynaStash,ACCESSORIES,,69.95,AUD,false,true,simple,images/maple-dynastash-2.jpg,https://aussievapemart.com.au/product/maple-dynastash-2/
9586,Wenge DynaStash,ACCESSORIES,,69.95,AUD,false,true,simple,images/wenge-dynastash-2.jpg,https://aussievapemart.com.au/product/wenge-dynastash-2/
9585,XL Wenge DynaStash,ACCESSORIES,,79.95,AUD,false,true,simple,images/xl-wenge-dynastash-2.jpg,https://aussievapemart.com.au/product/xl-wenge-dynastash-2/
9584,XL Maple DynaStash,ACCESSORIES,,72.95,AUD,true,true,simple,images/xl-maple-dynastash-2.jpg,https://aussievapemart.com.au/product/xl-maple-dynastash-2/
9583,DynaStash ER-Walnut,ACCESSORIES,,69.5,AUD,false,true,simple,images/dynastash-er-walnut-2.jpg,https://aussievapemart.com.au/product/dynastash-er-walnut-2/
9582,Ryot Hauler Bag Carbon Series,ACCESSORIES,,179.95,AUD,false,true,simple,images/ryot-hauler-bag-carbon-series-2.jpg,https://aussievapemart.com.au/product/ryot-hauler-bag-carbon-series-2/
9581,RYOT® 500mm SmellSafe™ Pro-Duffle,ACCESSORIES,,114.95,AUD,false,true,simple,images/ryot-500mm-smellsafe-pro-duffle-2.jpg,https://aussievapemart.com.au/product/ryot-500mm-smellsafe-pro-duffle-2/
9580,RYOT® 406mm SmellSafe™ Pro-Duffle,ACCESSORIES,,99,AUD,false,true,simple,images/ryot-406mm-smellsafe-pro-duffle-2.jpg,https://aussievapemart.com.au/product/ryot-406mm-smellsafe-pro-duffle-2/
9579,RYOT® 305mm SmellSafe™ Pro-Duffle,ACCESSORIES,,79,AUD,false,true,simple,images/ryot-305mm-smellsafe-pro-duffle-2.jpg,https://aussievapemart.com.au/product/ryot-305mm-smellsafe-pro-duffle-2/
9578,RYOT® SmellSafe™ HeadCase Grey,ACCESSORIES,,26.9,AUD,false,true,simple,images/ryot-smellsafe-headcase-grey-2.jpg,https://aussievapemart.com.au/product/ryot-smellsafe-headcase-grey-2/
9577,RYOT® SmellSafe™ HeadCase Natural,ACCESSORIES,,26.9,AUD,false,true,simple,images/ryot-smellsafe-headcase-natural-2.jpg,https://aussievapemart.com.au/product/ryot-smellsafe-headcase-natural-2/
9576,Ryot PackRatz Medium Carbon Series,ACCESSORIES,,44.95,AUD,false,true,variable,images/ryot-packratz-medium-carbon-series-2.jpg,https://aussievapemart.com.au/product/ryot-packratz-medium-carbon-series-2/
9575,RYOT® SmellSafe™ Small PackRatz,ACCESSORIES,,37.5,AUD,false,true,simple,images/ryot-smellsafe-small-packratz-2.jpg,https://aussievapemart.com.au/product/ryot-smellsafe-small-packratz-2/
