name,price,supplier_url
"ALIBARBAR INGOT 9000 PUFF – STRAWBERRY COCONUT WATERMELON",44.95,https://aussievapemart.com.au/product/alibarbar-ingot-9000-puff-strawberry-coconut-watermelon/
"ALIBARBAR INGOT 9000 PUFF – RIBENA",44.95,https://aussievapemart.com.au/product/alibarbar-ingot-9000-puff-ribena/
"ALIBARBAR INGOT 9000 PUFF – STRAWBERRY LYCHEE",44.95,https://aussievapemart.com.au/product/alibarbar-ingot-9000-puff-strawberry-lychee/
"Miami Mint Geek Bar Pulse X 25000",27,https://aussievapemart.com.au/product/miami-mint-geek-bar-pulse-x-25000/
"Miami Mint (Zero Nicotine) Geek Bar Pulse X 25000",25,https://aussievapemart.com.au/product/miami-mint-zero-nicotine-geek-bar-pulse-x-25000/
"Lime Berry Orange Geek Bar Pulse X 25000",28,https://aussievapemart.com.au/product/lime-berry-orange-geek-bar-pulse-x-25000/
"Cool Mint Geek Bar Pulse X 25000",25,https://aussievapemart.com.au/product/cool-mint-geek-bar-pulse-x-25000/
"Cola Slush Geek Bar Pulse X 25000",25,https://aussievapemart.com.au/product/cola-slush-geek-bar-pulse-x-25000/
"Blueberry Jam Geek Bar Pulse X 25000",25,https://aussievapemart.com.au/product/blueberry-jam-geek-bar-pulse-x-25000/
"Blue Razz Ice Geek Bar Pulse X 25000",24,https://aussievapemart.com.au/product/blue-razz-ice-geek-bar-pulse-x-25000/
"Blue Rancher Geek Bar Pulse X 25000",23,https://aussievapemart.com.au/product/blue-rancher-geek-bar-pulse-x-25000/
"Blue Rancher (Zero Nicotine) Geek Bar Pulse X 25000",23,https://aussievapemart.com.au/product/blue-rancher-zero-nicotine-geek-bar-pulse-x-25000/
"Blackberry B-Burst(B-Pop) Geek Bar Pulse X 25000",25,https://aussievapemart.com.au/product/blackberry-b-burstb-pop-geek-bar-pulse-x-25000/
"Blackberry Blueberry Geek Bar Pulse X 25000",24,https://aussievapemart.com.au/product/blackberry-blueberry-geek-bar-pulse-x-25000/
"Banana Taffy Freeze Geek Bar Pulse X 25000",24,https://aussievapemart.com.au/product/banana-taffy-freeze-geek-bar-pulse-x-25000/
"ATL Mint Geek Bar Pulse X 25000",25,https://aussievapemart.com.au/product/atl-mint-geek-bar-pulse-x-25000/
"Blackberry B-Pop(B-Burst) Geek Bar Pulse X 25000",24,https://aussievapemart.com.au/product/blackberry-b-popb-burst-geek-bar-pulse-x-25000/
"ACE SPECIAL SUNDRENCHED MOSCATO",30,https://aussievapemart.com.au/product/ace-special-sundrenched-moscato/
"ACE PINK TWISTE TROPICS  ACE TIGER’S BLOOD",30,https://aussievapemart.com.au/product/ace-pink-twiste-tropics-ace-tigers-blood/
"ACE VANILLA DREAM",27,https://aussievapemart.com.au/product/ace-vanilla-dream/
"ACE RASPBERRY LEMONADE",35,https://aussievapemart.com.au/product/ace-raspberry-lemonade/
"ACE SPECIAL RASPBERRY CRAVE",30,https://aussievapemart.com.au/product/ace-special-raspberry-crave/
"ACE SAPPHIRE LEMON",30,https://aussievapemart.com.au/product/ace-sapphire-lemon/
"ACE SOUR FRUIT PUNCH",29.99,https://aussievapemart.com.au/product/ace-sour-fruit-punch/
"ACE PURPLE BERRY ICE",24.99,https://aussievapemart.com.au/product/ace-purple-berry-ice/
"ACE PINK TWISTE TROPICS",30,https://aussievapemart.com.au/product/ace-pink-twiste-tropics/
"ACE MOJITO",30,https://aussievapemart.com.au/product/ace-mojito/
"ACE LUNAR LYCHEE ICE",30,https://aussievapemart.com.au/product/ace-lunar-lychee-ice/
"ACE KIWI BERRY RNTZ",30,https://aussievapemart.com.au/product/ace-kiwi-berry-rntz/
